1|Intel© Coret i5-7600K Processor|Stay ahead of the digital world with the Intel Core i5-7600K LGA 1151 Desktop Processor. Deliver powerful performance and seamless computing. Extended battery life keeps users on the run.|246.99|1000
2|Corsair Vengeance LPX 16GB|Vengeance LPX memory is designed for high-performance overclocking. The heatspreader is made of pure aluminum for faster heat dissipation, and the eight-layer PCB helps manage heat and provides superior overclocking headroom. Each IC is individually screened for performance potential.|119.99|250
3|WD Blue 1TB SATA|Boost your PC storage with WD Blue drives, the brand designed just for desktop and all-in-one PCs with a variety of storage capacities.|48.76|500
4|ASUS PRIME Z270|Ready for 7th generation Intel Core processors, the Prime Z270-A delivers maximum performance with customizable style. 5-Way Optimization provides intelligent auto-tuning and dynamic fan calibration, AURA Sync RGB lighting and 3D printing mounts customize your build, while Dual M.2 and USB 3.1 Type-A/C deliver maximum transfer speeds.|389.99|450
5|Samsung 860 EVO 500GB|The Samsung 860 EVO is specially designed to enhance performance of mainstream PCs and laptops. With the latest V-NAND technology, this fast and reliable SSD comes in a wide range of compatible form factors and capacities.|77.99|750
6|Microsoft Windows 10|With Windows 10 home, you'll always have the latest features and security. Experience faster start-ups, a familiar yet expanded start menu, and great new ways to get stuff done. Windows mixed reality requires a compatible Windows 10 PC and headset; PC Requirements may vary for available apps and content. Pc hardware Requirements may vary for games on Windows 10. Games sold separately. 4K functionality available with supported games, monitors, and graphics chips. Director 12 only available with supported games and graphics chips. Check PC to determine graphics chip compatibility. Windows hello biometrics require specialized hardware, including fingerprint reader, illuminated ir sensor or other biometric sensors and capable devices.|147.99|2000
7|Asus 24x DVD-RW|The ASUS DRW-24B1LT / 24B1ST is capable of reading and writing data on DVDÒR/ÒRW, DVDRAM formats. It is a power saving drive and allows you to permanently delete the data on re-writable discs. This provides you with flexibility and efficiency in terms of multimedia data storage and sharing.|19.99|100
8|EVGA Supernova 650 G3|Unleash the next generation in power with the EVGA SuperNOVA 650 G3 Power Supply. Based on the award winning G2 series Power Supplies from EVGA, This power supply features 80 PLUS Gold rated efficiency, and clean, continuous power to every component. The ECO Thermal Control Fan System offers fan modes to provide zero fan noise during low load operations. This provides improved efficiency for longer operation, less power consumption, reduced energy costs and minimal heat dissipation. Backed by a 10 year warranty and Japanese capacitor design, the EVGA SuperNOVA 650 G3 is not only the right choice for your system today, it is also the best choice for your system tomorrow.|89.99|550
9|NZXT H500|The H500 series showcases NZXT's vision for modern PC building with simplified water cooling installation, intuitive cable routing features, and quick release SSD trays. The H500 comes with two Aer F fans and a stunning tempered glass panel to showcase your build.|69.99|100
10|Intel Core i7-8700K|Outstanding gaming experiences extend beyond personal gameplay to your entire gaming community. Share those experiences by live-streaming or recording, editing, and posting your epic highlights.|361.1|250
